Rank	Swim Time	Name	Foreign	Age	Event	LSC	Team	Meet	Time Standard
1	49.42	Patrick Sammon		18	100 FR LCM	AZ	Sun Devil Swimming	2022 Phillips 66 Summer Nationals	2023 Summer Nationals (LCM)
2	49.59	Luke Hobson		18	100 FR LCM	US	Unattached	2022 Phillips 66 International Team Trials	2022 Summer Nationals (LCM)
3	49.81	Quintin McCarty		18	100 FR LCM	CO	Pikes Peak Athletics	2022 Phillips 66 Summer Nationals	2023 Summer Nationals (LCM)
4	49.83	Sam Hoover		18	100 FR LCM	NC	NC State University	2022 Phillips 66 International Team Trials	2023 Summer Nationals (LCM)
5	49.89	Brady Samuels		18	100 FR LCM	IN	Unattached	2021 Toyota US Open Championship	2022 Summer Nationals (LCM)
6	49.97	Will Modglin		18	100 FR LCM	IN	Zionsville Swim Club	2022 Speedo Junior National Ch	2022 Winter US Open (LCM)
7	49.98	Michael Cotter		18	100 FR LCM	NC	TAC Titans	2022 Phillips 66 International Team Trials	2022 Summer Nationals (LCM)
8	50.05	Andres Dupont Cabrera	Yes	18	100 FR LCM	FL	Bolles School Sharks	2022 TYR Pro Swim Series - San	2022 Summer Nationals (LCM)
9	50.35	Martin Kartavi	Yes	18	100 FR LCM	NC	Unattached	LEN European Aquatics Championships	2022 Winter US Open (LCM)
10	50.36	Lamar Taylor	Yes	18	100 FR LCM	AR	Unattached	2022 World Champs	2022 Summer Nationals (LCM)
11	50.38	Baylor Nelson		18	100 FR LCM	NC	SwimMAC Carolina	2022 Phillips 66 International Team Trials	2022 Summer Nationals (LCM)
12	50.44	Rex Maurer		18	100 FR LCM	CA	Rose Bowl Aquatics	2022 Jr Pan Pacific Swimming Championships	2022 Winter US Open (LCM)
13	50.55	Hayden Ghufran		18	100 FR LCM	SN	DART Swimming	2022 PC SCSC Futures West	2022 Winter US Open (LCM)
14	50.65	Owen McDonald		18	100 FR LCM	GA	Dynamo Swim Club	2022 GA LC Senior State Championship	2022 Winter US Open (LCM)
