gender,event,age_from,age_to,median_improvement,mean_improvement,std_improvement,q25_improvement,q75_improvement,sample_size,can_track,can_delta,delta_diff_seconds
F,50 Free,15,16,0.3100000000000023,0.3232835820895522,0.4047353587543033,0.0700000000000002,0.5749999999999993,335,,,
F,50 Free,16,17,0.1499999999999985,0.1748377581120944,0.3838097568194196,-0.0699999999999985,0.3900000000000005,339,Relevant Track,0.0,0.1499999999999985
F,50 Free,17,18,-0.1099999999999994,-0.0929126213592232,0.4166928612119936,-0.370000000000001,0.1900000000000012,309,Relevant Track,0.0,-0.1099999999999994
F,50 Free,17,18,-0.1099999999999994,-0.0929126213592232,0.4166928612119936,-0.370000000000001,0.1900000000000012,309,Relevant Track,0.0,-0.1099999999999994
M,50 Free,15,16,0.5500000000000007,0.5525249169435215,0.450618921229284,0.2699999999999996,0.8099999999999987,301,,,
M,50 Free,16,17,0.370000000000001,0.371092715231788,0.392482080427713,0.1525000000000016,0.5899999999999999,302,,,
M,50 Free,17,18,0.1050000000000004,0.1177622377622379,0.4051977322374558,-0.120000000000001,0.3675000000000015,286,Relevant Track,0.0,0.1050000000000004
F,100 Free,15,16,0.759999999999998,0.7339882697947214,0.8950715103610752,0.1499999999999985,1.2900000000000065,341,Relevant Track,0.0,0.759999999999998
F,100 Free,16,17,0.3700000000000045,0.4127019498607242,0.7150590273249279,-0.0600000000000022,0.9150000000000028,359,Relevant Track,0.0,0.3700000000000045
F,100 Free,16,17,0.3700000000000045,0.4127019498607242,0.7150590273249279,-0.0600000000000022,0.9150000000000028,359,Relevant Track,0.0,0.3700000000000045
F,100 Free,17,18,-0.1499999999999985,-0.2152564102564105,0.9418159278468846,-0.8575000000000017,0.4199999999999964,312,Relevant Track,0.0,-0.1499999999999985
F,100 Free,17,18,-0.1499999999999985,-0.2152564102564105,0.9418159278468846,-0.8575000000000017,0.4199999999999964,312,Relevant Track,0.0,-0.1499999999999985
F,100 Free,17,18,-0.1499999999999985,-0.2152564102564105,0.9418159278468846,-0.8575000000000017,0.4199999999999964,312,Relevant Track,0.0,-0.1499999999999985
M,100 Free,15,16,1.2100000000000009,1.2308724832214768,0.8543233382565448,0.7125000000000004,1.7675000000000036,298,Relevant Track,0.0,1.2100000000000009
M,100 Free,16,17,0.8400000000000034,0.834954407294833,0.7659398825602316,0.3900000000000005,1.3000000000000045,329,Relevant Track,0.0,0.8400000000000034
M,100 Free,16,17,0.8400000000000034,0.834954407294833,0.7659398825602316,0.3900000000000005,1.3000000000000045,329,Relevant Track,0.0,0.8400000000000034
M,100 Free,17,18,0.1950000000000002,0.195171232876712,0.822881862554035,-0.3399999999999981,0.7249999999999996,292,Relevant Track,0.0,0.1950000000000002
M,100 Free,17,18,0.1950000000000002,0.195171232876712,0.822881862554035,-0.3399999999999981,0.7249999999999996,292,Relevant Track,0.0,0.1950000000000002
M,100 Free,17,18,0.1950000000000002,0.195171232876712,0.822881862554035,-0.3399999999999981,0.7249999999999996,292,Relevant Track,0.0,0.1950000000000002
F,200 Free,15,16,1.5899999999999892,1.7109195402298842,2.126302241782969,0.4050000000000011,2.894999999999989,348,Relevant Track,0.0,1.5899999999999892
F,200 Free,15,16,1.5899999999999892,1.7109195402298842,2.126302241782969,0.4050000000000011,2.894999999999989,348,Relevant Track,0.0,1.5899999999999892
F,200 Free,16,17,0.7349999999999923,0.7695999999999991,1.7846891237891906,-0.3499999999999943,1.914999999999992,350,Relevant Track,0.0,0.7349999999999923
F,200 Free,16,17,0.7349999999999923,0.7695999999999991,1.7846891237891906,-0.3499999999999943,1.914999999999992,350,Relevant Track,0.0,0.7349999999999923
F,200 Free,16,17,0.7349999999999923,0.7695999999999991,1.7846891237891906,-0.3499999999999943,1.914999999999992,350,Relevant Track,0.0,0.7349999999999923
F,200 Free,17,18,-0.4600000000000079,-0.723425605536332,2.272948566431264,-2.1899999999999977,0.7299999999999898,289,Relevant Track,0.0,-0.4600000000000079
F,200 Free,17,18,-0.4600000000000079,-0.723425605536332,2.272948566431264,-2.1899999999999977,0.7299999999999898,289,Relevant Track,0.0,-0.4600000000000079
F,200 Free,17,18,-0.4600000000000079,-0.723425605536332,2.272948566431264,-2.1899999999999977,0.7299999999999898,289,Relevant Track,0.0,-0.4600000000000079
M,200 Free,15,16,2.5799999999999983,2.5680120481927715,1.94447633483216,1.3275000000000006,3.654999999999994,332,Relevant Track,0.0,2.5799999999999983
M,200 Free,16,17,1.4699999999999989,1.5471999999999997,1.7622064421103971,0.4699999999999988,2.549999999999997,325,Relevant Track,0.0,1.4699999999999989
M,200 Free,16,17,1.4699999999999989,1.5471999999999997,1.7622064421103971,0.4699999999999988,2.549999999999997,325,Relevant Track,0.0,1.4699999999999989
M,200 Free,17,18,0.2299999999999897,0.1512251655629142,1.761699253720325,-0.9149999999999884,1.2824999999999953,302,Relevant Track,0.0,0.2299999999999897
M,200 Free,17,18,0.2299999999999897,0.1512251655629142,1.761699253720325,-0.9149999999999884,1.2824999999999953,302,Relevant Track,0.0,0.2299999999999897
M,200 Free,17,18,0.2299999999999897,0.1512251655629142,1.761699253720325,-0.9149999999999884,1.2824999999999953,302,Relevant Track,0.0,0.2299999999999897
F,400 Free,15,16,2.4049999999999727,2.3845402298850584,4.996867589615687,-0.3424999999999869,5.322500000000005,348,Relevant Track,0.0,2.4049999999999727
F,400 Free,15,16,2.4049999999999727,2.3845402298850584,4.996867589615687,-0.3424999999999869,5.322500000000005,348,Relevant Track,0.0,2.4049999999999727
