gender,event,age_from,age_to,median_improvement,mean_improvement,std_improvement,q25_improvement,q75_improvement,sample_size,can_track,can_delta,delta_diff_seconds
F,50 Free,15,16,0.3100000000000023,0.3232835820895522,0.4047353587543033,0.0700000000000002,0.5749999999999993,335,,,
F,50 Free,16,17,0.1499999999999985,0.1748377581120944,0.3838097568194196,-0.0699999999999985,0.3900000000000005,339,Track 1 (Early),0.26000000000000156,-0.11000000000000307
F,50 Free,17,18,-0.1099999999999994,-0.0929126213592232,0.4166928612119936,-0.370000000000001,0.1900000000000012,309,Track 1 (Early),0.1999999999999993,-0.3099999999999987
F,50 Free,17,18,-0.1099999999999994,-0.0929126213592232,0.4166928612119936,-0.370000000000001,0.1900000000000012,309,Track 2 (Middle),0.1999999999999993,-0.3099999999999987
F,100 Free,15,16,0.759999999999998,0.7339882697947214,0.8950715103610751,0.1499999999999985,1.2900000000000065,341,Track 1 (Early),1.0900000000000034,-0.3300000000000054
F,100 Free,16,17,0.3700000000000045,0.4127019498607243,0.7150590273249279,-0.0600000000000022,0.9150000000000028,359,Track 1 (Early),0.6899999999999977,-0.31999999999999323
F,100 Free,16,17,0.3700000000000045,0.4127019498607243,0.7150590273249279,-0.0600000000000022,0.9150000000000028,359,Track 2 (Middle),0.7000000000000028,-0.32999999999999835
F,100 Free,17,18,-0.1499999999999985,-0.2152564102564105,0.9418159278468844,-0.8575000000000017,0.4199999999999964,312,Track 1 (Early),0.45000000000000284,-0.6000000000000013
F,100 Free,17,18,-0.1499999999999985,-0.2152564102564105,0.9418159278468844,-0.8575000000000017,0.4199999999999964,312,Track 2 (Middle),0.46000000000000085,-0.6099999999999993
F,100 Free,17,18,-0.1499999999999985,-0.2152564102564105,0.9418159278468844,-0.8575000000000017,0.4199999999999964,312,Track 3 (Late),0.46000000000000085,-0.6099999999999993
F,200 Free,15,16,1.5899999999999892,1.710919540229884,2.126302241782969,0.4050000000000011,2.894999999999989,348,Track 1 (Early),2.3100000000000023,-0.7200000000000131
F,200 Free,15,16,1.5899999999999892,1.710919540229884,2.126302241782969,0.4050000000000011,2.894999999999989,348,Track 2 (Middle),2.3299999999999983,-0.7400000000000091
F,200 Free,16,17,0.7349999999999923,0.7695999999999991,1.7846891237891906,-0.3499999999999943,1.914999999999992,350,Track 1 (Early),1.4699999999999989,-0.7350000000000065
F,200 Free,16,17,0.7349999999999923,0.7695999999999991,1.7846891237891906,-0.3499999999999943,1.914999999999992,350,Track 2 (Middle),1.480000000000004,-0.7450000000000117
F,200 Free,16,17,0.7349999999999923,0.7695999999999991,1.7846891237891906,-0.3499999999999943,1.914999999999992,350,Track 3 (Late),1.4899999999999949,-0.7550000000000026
F,200 Free,17,18,-0.4600000000000079,-0.723425605536332,2.272948566431264,-2.1899999999999977,0.7299999999999898,289,Track 1 (Early),0.9700000000000131,-1.430000000000021
F,200 Free,17,18,-0.4600000000000079,-0.723425605536332,2.272948566431264,-2.1899999999999977,0.7299999999999898,289,Track 2 (Middle),0.980000000000004,-1.440000000000012
F,200 Free,17,18,-0.4600000000000079,-0.723425605536332,2.272948566431264,-2.1899999999999977,0.7299999999999898,289,Track 3 (Late),0.9899999999999949,-1.4500000000000028
F,400 Free,15,16,2.4049999999999727,2.3845402298850584,4.996867589615687,-0.3424999999999869,5.322500000000005,348,Track 1 (Early),4.380000000000024,-1.9750000000000512
F,400 Free,15,16,2.4049999999999727,2.3845402298850584,4.996867589615687,-0.3424999999999869,5.322500000000005,348,Track 2 (Middle),4.399999999999977,-1.9950000000000045
F,400 Free,16,17,1.2999999999999543,1.2077101449275356,4.223532174842055,-1.509999999999991,3.879999999999996,345,Track 1 (Early),2.6999999999999886,-1.4000000000000343
F,400 Free,16,17,1.2999999999999543,1.2077101449275356,4.223532174842055,-1.509999999999991,3.879999999999996,345,Track 2 (Middle),2.710000000000008,-1.4100000000000537
F,400 Free,16,17,1.2999999999999543,1.2077101449275356,4.223532174842055,-1.509999999999991,3.879999999999996,345,Track 3 (Late),2.7200000000000273,-1.420000000000073
F,400 Free,17,18,-1.829999999999984,-2.225405405405404,5.501077898037771,-5.39500000000001,1.5300000000000011,259,Track 1 (Early),1.5500000000000114,-3.3799999999999955
F,400 Free,17,18,-1.829999999999984,-2.225405405405404,5.501077898037771,-5.39500000000001,1.5300000000000011,259,Track 2 (Middle),1.5600000000000023,-3.3899999999999864
F,400 Free,17,18,-1.829999999999984,-2.225405405405404,5.501077898037771,-5.39500000000001,1.5300000000000011,259,Track 3 (Late),1.5600000000000023,-3.3899999999999864
F,800 Free,15,16,4.595000000000027,4.228355704697987,13.195712072296466,-4.392499999999984,11.907499999999942,298,Track 1 (Early),8.389999999999986,-3.794999999999959
F,800 Free,15,16,4.595000000000027,4.228355704697987,13.195712072296466,-4.392499999999984,11.907499999999942,298,Track 2 (Middle),8.440000000000055,-3.8450000000000273
F,800 Free,16,17,0.954999999999984,0.9315957446808534,12.277306890148,-5.450000000000017,8.562500000000028,282,Track 1 (Early),5.110000000000014,-4.15500000000003
F,800 Free,16,17,0.954999999999984,0.9315957446808534,12.277306890148,-5.450000000000017,8.562500000000028,282,Track 2 (Middle),5.1299999999999955,-4.175000000000011
F,800 Free,16,17,0.954999999999984,0.9315957446808534,12.277306890148,-5.450000000000017,8.562500000000028,282,Track 3 (Late),5.139999999999986,-4.185000000000002
F,800 Free,17,18,0.1150000000000091,-2.757663043478262,16.087645694605406,-10.502500000000026,6.372499999999988,184,Track 1 (Early),3.189999999999941,-3.074999999999932
