gender,event,age_from,age_to,zscore_range,n_athletes,mean_zscore,median_zscore,min_zscore,max_zscore,median_improvement,mean_improvement,std_improvement,pct_improving,pct_getting_slower,q25_improvement,q75_improvement
F,50 Free,15,16,Average (0 ≤ z < 0.5),72,0.23618942506413593,0.23014469345342903,0.012534355467952606,0.49998151255541484,0.2349999999999994,0.2188888888888891,0.36044554048333177,70.83333333333334,27.77777777777778,-0.0649999999999986,0.4549999999999992
F,50 Free,15,16,Top 6.7% (1.5 ≤ z < 2.0),17,1.7523930107023995,1.736008232312905,1.5445111348856893,1.9971406378954704,-0.0199999999999995,-0.02117647058823588,0.35878688337460246,47.05882352941176,52.94117647058824,-0.25,0.1999999999999993
F,50 Free,15,16,Top 2.5% (z ≥ 2.0),20,2.830153011703863,2.467178967944092,2.031958291973145,4.155835190711369,0.15500000000000108,0.13500000000000031,0.3370830758136631,70.0,30.0,-0.03999999999999825,0.4325000000000001
F,50 Free,15,16,Bottom 15.9% (z < -1.0),20,-1.1260029328720416,-1.1364482290953468,-1.2234923642895312,-1.0145864398234812,0.75,0.7125,0.2092337209916219,100.0,0.0,0.5625,0.8525
F,50 Free,15,16,Above Average (0.5 ≤ z < 1.0),43,0.7331788235872907,0.7262962640603053,0.5173903395942554,0.9526110155652021,0.3299999999999983,0.24651162790697637,0.43716786048025624,76.74418604651163,23.25581395348837,0.07500000000000101,0.5199999999999996
F,50 Free,15,16,Lower (-1.0 ≤ z < -0.5),64,-0.7488298145587193,-0.7534540342409126,-0.9971776127846407,-0.5097304556971785,0.3800000000000008,0.49000000000000005,0.35296069186242246,96.875,3.125,0.2374999999999989,0.6725000000000012
F,50 Free,15,16,Below Average (-0.5 ≤ z < 0),68,-0.23477339334847672,-0.23989363659519264,-0.47491280161950344,-0.004874471570881797,0.370000000000001,0.3764705882352943,0.40835669495114013,79.41176470588235,20.588235294117645,0.049999999999999795,0.7274999999999991
F,50 Free,15,16,Top 15.9% (1.0 ≤ z < 1.5),31,1.2614773017381302,1.3007875563419582,1.0048374966817115,1.474875826730333,0.2899999999999991,0.27064516129032234,0.35030802559913965,80.64516129032258,19.35483870967742,0.040000000000000896,0.5399999999999991
F,50 Free,16,17,Average (0 ≤ z < 0.5),60,0.24829427163951934,0.23478877357561506,0.010654975919352532,0.49340469394823133,0.1049999999999986,0.1473333333333332,0.3277390560932411,61.66666666666667,35.0,-0.08250000000000131,0.37249999999999955
F,50 Free,16,17,Top 15.9% (1.0 ≤ z < 1.5),23,1.2287734414425275,1.2175292709915435,1.0106365346934516,1.4589041300059828,-0.0300000000000011,-0.027826086956521764,0.394857778708268,47.82608695652174,52.17391304347826,-0.2599999999999998,0.1099999999999994
F,50 Free,16,17,Lower (-1.0 ≤ z < -0.5),65,-0.7442382644708588,-0.7307106624821365,-0.9720855214965758,-0.5065768648258739,0.2900000000000027,0.39399999999999996,0.3310440361132542,93.84615384615384,4.615384615384616,0.1799999999999997,0.5899999999999999
F,50 Free,16,17,Top 2.5% (z ≥ 2.0),23,2.690515600070337,2.614055241003649,2.0451002161839047,3.769206352001322,0.0800000000000018,0.07652173913043563,0.32015768799075295,56.52173913043478,43.47826086956522,-0.13999999999999874,0.3100000000000023
F,50 Free,16,17,Above Average (0.5 ≤ z < 1.0),60,0.7034582914953174,0.6658153075299694,0.5106457553064021,0.9761544119771041,-0.0199999999999995,0.008500000000000034,0.33108823093952866,46.666666666666664,53.333333333333336,-0.1925000000000016,0.20749999999999957
F,50 Free,16,17,Below Average (-0.5 ≤ z < 0),54,-0.24381031857073693,-0.22209935241599843,-0.489335803467697,-0.006586085438824336,0.09499999999999885,0.182037037037037,0.35782977346275385,61.111111111111114,38.88888888888889,-0.08000000000000093,0.3174999999999999
F,50 Free,16,17,Top 6.7% (1.5 ≤ z < 2.0),25,1.6913136371141702,1.6830379276622454,1.5106273140805073,1.9761359707512092,-0.0500000000000007,-0.0711999999999996,0.3463330189283144,40.0,60.0,-0.1600000000000001,0.1000000000000014
F,50 Free,16,17,Bottom 15.9% (z < -1.0),29,-1.1254715156486081,-1.1272550737201432,-1.2479425032273628,-1.0238087055711003,0.3900000000000005,0.5220689655172409,0.3178090872417161,100.0,0.0,0.259999999999998,0.7300000000000004
F,50 Free,17,18,Lower (-1.0 ≤ z < -0.5),63,-0.7551266672348661,-0.753684478295811,-0.9899150265127488,-0.5174539300788797,-0.0900000000000034,-0.061587301587301344,0.39652541041980105,36.507936507936506,61.904761904761905,-0.375,0.10500000000000034
F,50 Free,17,18,Top 15.9% (1.0 ≤ z < 1.5),27,1.2586498213299133,1.2451893912320804,1.008958843015149,1.4995915200810863,-0.1900000000000012,-0.10037037037037014,0.3465970173781336,37.03703703703704,62.96296296296296,-0.29999999999999893,0.19500000000000023
F,50 Free,17,18,Below Average (-0.5 ≤ z < 0),65,-0.27730950295657736,-0.29939496249401665,-0.4992823494468051,-0.008649672380867956,-0.1499999999999985,-0.06323076923076933,0.4350459133764645,43.07692307692308,55.38461538461539,-0.3599999999999994,0.3000000000000007
F,50 Free,17,18,Above Average (0.5 ≤ z < 1.0),44,0.7396890572853583,0.7182135529020005,0.5001545853171374,0.9907872623830746,-0.1050000000000004,-0.20772727272727226,0.4801697788584008,34.090909090909086,63.63636363636363,-0.4500000000000002,0.0850000000000017
F,50 Free,17,18,Top 2.5% (z ≥ 2.0),15,2.8503456803984237,2.6262295192695384,2.008395777779098,3.916411744146636,-0.0300000000000011,-0.05200000000000055,0.28671007423295475,46.666666666666664,53.333333333333336,-0.2400000000000002,0.1450000000000013
